rating,reviews,amenities,price,country,bathrooms,beds,guests,toiles,bedrooms,studios,latitude,longitude
5.0,4.0,"Mountain view,Kitchen,Wifi,Pets allowed,HDTV,Bath,Private backyard – Fully fenced,Luggage drop-off allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",3709, India,1,1,2,0,1,0,32.2454608,77.1872926
4.93,15.0,"Kitchen,Wifi,Dedicated workspace,Free parking on premises,TV,Washing machine,Free dryer – In building,Bath,Private patio or balcony,Unavailable: Smoke alarmSmoke alarm",12845, Turkey,1,3,6,0,2,0,40.6212099,31.6460259
4.96,26.0,"Lake view,Mountain view,Public or shared beach access,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Private pool,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",8128, Turkey,1,1,4,0,1,0,40.6930538,30.27344
4.6,5.0,"Kitchen,Free residential garage on premises,Private pool,Private hot tub,TV,Air conditioning,Private patio or balcony,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",15052, Turkey,2,4,7,0,3,0,40.6627046,30.2766474
0.0,2.0,"Lake view,Garden view,Kitchen,Wifi,Free residential garage on premises,Private pool,Private hot tub,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",15604, Turkey,1,1,4,0,1,0,40.6930538,30.27344
5.0,4.0,"Mountain view,Valley view,Lake access,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Private hot tub,Pets allowed,Security cameras on property",7476, Turkey,1,2,4,0,1,0,40.6930538,30.27344
4.87,85.0,"Beach access – Beachfront,Kitchen,Pets allowed,Patio or balcony,Garden,Refrigerator,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",1372, Philippines,1,1,2,0,1,0,13.4444905,120.7288218
5.0,9.0,"Lake access,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Private pool,Private hot tub – available all year, open 24 hours,42"" HDTV with Netflix, cable/satellite TV,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",14771, Turkey,1,2,4,0,1,0,40.6930538,30.27344
4.9,20.0,"Garden view,Mountain view,Waterfront,Free parking on premises,Pets allowed,Private patio or balcony,Shared garden,Fire pit,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",8248, Philippines,1,5,7,0,3,0,14.4985359,121.2856331
4.64,11.0,"Kitchen,Wifi,Dedicated workspace,Free parking on premises,Private pool,Private hot tub,TV,Washing machine,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",7319, Turkey,1,1,2,0,1,0,36.1993752,29.6413365
5.0,7.0,"Garden view,Mountain view,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,Paid washer – In building,Private patio or balcony,Security cameras on property",4051, Turkey,1,2,3,0,1,0,38.7187371,34.8468663
4.75,4.0,"Bay view,City skyline view,Lake access,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Private pool,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",14551, Turkey,1,0,4,0,1,0,40.6930538,30.27344
5.0,8.0,"Garden view,Valley view,Kitchen,Wifi – 35 Mbps,Dedicated workspace,Free parking on premises,Pets allowed,Free washer – In unit,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",7418, India,1,0,2,0,1,0,30.25,79.25
